,amount,duration,inst_rate,residing_since,age,num_credits,dependents,status,checkin_acc_A11,checkin_acc_A12,checkin_acc_A13,checkin_acc_A14,credit_history_A30,credit_history_A31,credit_history_A32,credit_history_A33,credit_history_A34,purpose_A40,purpose_A41,purpose_A410,purpose_A42,purpose_A43,purpose_A44,purpose_A45,purpose_A46,purpose_A48,purpose_A49,svaing_acc_A61,svaing_acc_A62,svaing_acc_A63,svaing_acc_A64,svaing_acc_A65,present_emp_since_A71,present_emp_since_A72,present_emp_since_A73,present_emp_since_A74,present_emp_since_A75,personal_status_A91,personal_status_A92,personal_status_A93,personal_status_A94,other_debtors_A101,other_debtors_A102,other_debtors_A103,property_A121,property_A122,property_A123,property_A124,inst_plans_A141,inst_plans_A142,inst_plans_A143,housing_A151,housing_A152,housing_A153,job_A171,job_A172,job_A173,job_A174,telephone_A191,telephone_A192,foreign_worker_A201,foreign_worker_A202
amount,1.0,0.6251278076335868,-0.2729063046747725,0.018909079314716255,0.03287297400170071,0.016286722684180403,0.01714264180174183,-0.1547392929651566,-0.020911083525662736,0.11961064772439053,-0.10050567256293498,-0.03948644935340082,0.14718950051334628,0.005924619205632301,-0.08668063317863593,0.11355435154229654,-0.04180970611733851,-0.040791541971203375,0.25210131731456825,0.19289125455702932,-0.03403742856995088,-0.17320294296822178,-0.06926773308900008,-0.028878971221117884,-0.007387412166516831,-0.06976550662575809,0.10301654756125832,-0.03644234943292022,0.013545470372033533,-0.0642583903117293,-0.05553988486762648,0.10654674960092567,0.08615776311365539,-0.051499419624298236,-0.03705220839017272,0.05375374260463168,-0.009619063936211689,0.03362027680924749,-0.09348335237900057,0.15245788008976952,-0.13828797933558074,-0.004120508774214612,0.07907962185660389,-0.06523522947747759,-0.24833898317007105,-0.03255511559731034,0.0756776962982438,0.2489238547982929,0.03947049702599146,0.024264674660867697,-0.04829017479816801,-0.024611350053523676,-0.1174990322138983,0.2016456700039983,-0.027970409442018063,-0.1617597625903244,-0.0926334280455579,0.31971422288142975,-0.2769957908041017,0.2769957908041017,0.0500489899870339,-0.05004898998703389
duration,0.6251278076335868,1.0,0.06626305502177528,0.024970100763474577,-0.03710628797062172,-0.026296387392998083,-0.024282951768077203,-0.214668486942728,0.021614587246501213,0.08999863763581642,-0.07669661526020959,-0.06326780954516578,0.11821114294968384,0.03337013031381644,-0.06983116012409679,0.1372106053814684,-0.07555171921544619,-0.1104740518091826,0.14506733749271428,0.104128160101475,-0.06307622651218107,-0.04427071300217164,-0.036838647065791014,-0.022242237355510737,0.004207822221901348,-0.07278022039144616,0.16465924472332835,-0.04776439510008976,0.05209333410060124,-0.03997751801026018,-0.04783941416360568,0.07105670162222395,-0.005707232279797118,-0.05671142406949022,-0.03174774699977314,0.07949500472972745,0.017641322199736468,0.005987565759865602,-0.0811355778472361,0.12235559572543765,-0.08537482941673347,0.010065634661862397,0.029228011727016997,-0.03927006102514641,-0.2426732232889732,-0.05660152187029571,0.11989308025870554,0.21229363722032074,0.03533304492370178,0.06542923653367191,-0.06700145283296066,-0.06423234895193491,-0.07510658244453162,0.18879719868649847,-0.04453056243406519,-0.18130905091480112,0.05522013832240193,0.1475499663583865,-0.16437494384636164,0.16437494384636164,0.1387387723903762,-0.1387387723903762
inst_rate,-0.2729063046747725,0.06626305502177528,1.0,0.04718384306818859,0.056342015679684096,0.007987609993587604,-0.06670353515062485,-0.07110833761082647,0.048454391641422144,-0.051688835002046005,-0.04499795119539114,0.02505477791430602,-0.055992758208140384,0.03038519667375357,-0.018082129664265412,-0.014216344117374494,0.03837359211800397,-0.04330027961249365,-0.08672304174236911,-0.030815308389790713,-0.06725490577064963,0.13794852095987567,0.021790491213418108,0.04194846620788013,0.037086609226423185,0.03737506833513331,-0.027487122821875393,-0.009649240514313494,-0.011344474386985328,-0.018802846296455917,0.0354654768865738,0.013335701866313743,-0.049014166660515245,-0.02906139826675709,-0.07318631527743374,-0.0024241682426113798,0.13422200724698038,-0.10016304696585093,-0.08099814587542026,0.11370016499069394,0.009354226514756573,0.013932710648541471,-0.015554010577364337,-0.004334172205976182,-0.028135321773044574,-0.02350917753960116,0.011903652632260661,0.04703654122343361,-0.015148237268654715,0.049673217841099813,-0.013549760777718701,-0.09043809058528934,0.05053997320560755,0.03804141325551911,-0.08387957682361798,-0.056007074001328004,0.04115494011393159,0.0417819871768028,-0.018386543950895253,0.018386543950895253,0.07897146290142873,-0.07897146290142874
residing_since,0.018909079314716255,0.024970100763474577,0.04718384306818859,1.0,0.268296433745234,0.10277551290032672,0.045624052721813635,0.0001390359803481492,0.09640092576729659,-0.04810900614794774,-0.06724062465703308,-0.010898200526170042,0.002341012513037327,0.02968362951477999,-0.08133127715507647,-0.02432566794628847,0.08924146895084988,0.022215686505932735,0.09868456848069475,0.047490833720702584,-0.0060682927271714015,-0.08934213083064925,-0.011024239863209157,0.026261784052294675,0.04282798784017924,0.02251308315685767,-0.054851623622788045,-0.0864944718594503,0.02112707928624128,0.032410080735395426,-0.00457813899141474,0.07500547923110502,0.03372829804929115,-0.14351484345044419,-0.16282636318879254,-0.011458537751266313,0.29316306470209974,-0.036104139919879,0.01354206756773982,0.057562850678492636,-0.09356562409733216,0.017223313644887387,0.007432094988002724,-0.029167262263848064,-0.08322145857800875,-0.01724369937464617,-0.04752077843809435,0.1859132771505976,0.015520327059168476,-0.05457771139982042,0.01588654460804478,0.16312322015166297,-0.289007721145141,0.21973785220289183,-0.0345494922844777,0.008920000659752394,0.0020982770878722463,0.00137081722940763,-0.0916337508314686,0.0916337508314686,0.05758063028652388,-0.05758063028652386
age,0.03287297400170071,-0.03710628797062172,0.056342015679684096,0.268296433745234,1.0,0.16401710154556765,0.11781363069736708,0.09080722788271739,-0.010658243635990798,-0.07869761380652739,0.03772503605312302,0.06238923352740026,-0.02262976157533341,0.013923076360508843,-0.15575578290117154,0.015974512314454632,0.16399636464138376,0.07499203322966823,0.05028328002253059,0.0426475436620583,-0.12736518789933313,-0.04615445772472858,-0.012810200469746836,0.03978742579263841,0.06878250581046057,-0.0068869059142126,-0.002357676821597098,-0.04413056841576064,-0.07547217476757441,0.030244793267135767,0.03176753613053505,0.07860332551313907,0.11034804504737865,-0.20946813314316645,-0.15566294185615687,-0.08311797673980435,0.36260378349513855,0.06259557724714157,-0.16117266234083372,0.20694970278065764,-0.14565494208312305,0.030407694509466784,-0.017800516854348344,-0.02387868275412593,0.011255394294682631,-0.02768234742709711,-0.14390025699936773,0.2060886244486333,0.04733653412547214,-0.010970231956251169,-0.03611909926826479,-0.21246939846773757,0.006796535711776909,0.2525164020581698,0.06017114736840674,0.04496653613530772,-0.14845684288151298,0.12633873905296977,-0.14508386885809382,0.14508386885809382,0.006193680186911099,-0.006193680186911111
num_credits,0.016286722684180403,-0.026296387392998083,0.007987609993587604,0.10277551290032672,0.16401710154556765,1.0,0.11743764898759833,0.04473799198681017,-0.021967542737921144,-0.047296598572529436,-0.028223469996780003,0.07700675071210995,0.0977441880322001,-0.0903832623315897,-0.4818079708239055,0.10724653938699406,0.46237481948766973,0.036592556070837244,-0.011428485393212336,0.009322110781434908,-0.06263551747748576,-0.03027005225967905,-0.05651200490666325,0.07133015841225795,-0.006907049867734826,-0.0147101056662564,0.07858714710873249,0.03831813044808641,-0.011428485393212192,-0.05182662282703754,0.025700200105192087,-0.021145448240803708,0.03363688546889999,-0.09061404258588956,-0.08025627592467621,0.03125941530387956,0.12013040508630507,-0.03321962079243853,-0.0920973972432656,0.11618240418206417,-0.02763912990646952,0.02968220658018846,-0.015045996122431238,-0.025389711493958005,0.021149522620667792,-0.021438405689548357,-0.001254267127609112,0.00034158831547660755,0.04849133054246717,0.02217178830464953,-0.05517206656745762,-0.055869338656681665,0.023982150163147236,0.03405188193305935,0.09087802314567746,-0.00788520133538032,-0.017312010837186385,-0.005119395657931557,-0.07548515666500669,0.07548515666500669,0.01000280647726285,-0.01000280647726283
dependents,0.01714264180174183,-0.024282951768077203,-0.06670353515062485,0.045624052721813635,0.11781363069736708,0.11743764898759833,1.0,0.0030148530833445566,0.05904119041152327,-0.06664257307512143,-0.008700158434488655,0.010913867639032473,0.011280547309335566,0.06918519928545669,-0.0783385218205992,0.042525901651348647,0.02176463755953942,0.10266258739465313,0.05486157064902594,0.0035527507254549816,-0.08651507185862296,-0.08246417735743698,-0.04720083106676669,0.029951746609142346,0.04120428217151708,0.017701215491208896,-0.000326771444930365,-0.019568391379880624,0.00031816983806409277,-0.008700158434488523,-0.00568747342026823,0.033122183722476134,-0.041363352816576014,-0.04876414722245052,-0.03236732198123475,0.02208430707038914,0.0812617119289114,-0.06022164317375536,-0.20343118102086447,0.28348305885279723,-0.11720858654662852,-0.005565658365720118,-0.0328167430010632,0.036588725875226616,0.0202029560055662,-0.006284235142287826,-0.07310827986283025,0.07754783897948372,0.07551936920824262,0.009335045927025795,-0.07222009823221948,-0.0630329330511108,-0.027578957005981338,0.11804701658367996,-0.007723406358332379,0.14506582086778047,-0.10673663224582378,-0.015095825650333086,0.014753439338346991,-0.014753439338346991,-0.07707085312345123,0.07707085312345123
status,-0.1547392929651566,-0.214668486942728,-0.07110833761082647,0.0001390359803481492,0.09080722788271739,0.04473799198681017,0.0030148530833445566,1.0,-0.2583334734882517,-0.11958089450149356,0.044009492703749695,0.32243570477770805,-0.14476650603589497,-0.13444779843951415,-0.04372234923380667,-0.01232456444410899,0.18171301969732784,-0.09690047108093158,0.09979075742999617,-0.028057520764226532,-0.02097059912756873,0.10692217131196477,-0.008016434504064944,-0.0208275228930208,-0.07008766440504553,0.03928087850141766,-0.036129062334299064,-0.16100658741138615,-0.02225549266424395,0.07095408007339192,0.08574929257125227,0.1292377123259018,-0.03981491245900008,-0.10639685329020665,-0.010602727744855255,0.07598006067610082,0.05973333359789552,-0.05006261743217403,-0.07549269735627515,0.08067680281606357,0.019630296651358247,0.0007513550934164541,-0.06272836622171578,0.05503925403760127,0.11929951647279947,-0.007237586810204705,-0.011121012304337997,-0.1257500439913787,-0.09651010932799858,-0.05052322368637382,0.11328516656015228,-0.09278544671299907,0.1345887757223298,-0.08155564690569002,-0.005950720826577542,0.02182178902359946,0.013559399939321039,-0.04055866326855276,-0.03646619017996305,0.03646619017996305,-0.08207949878149681,0.0820794987814968
checkin_acc_A11,-0.020911083525662736,0.021614587246501213,0.048454391641422144,0.09640092576729659,-0.010658243635990798,-0.021967542737921144,0.05904119041152327,-0.2583334734882517,1.0,-0.37266999073506624,-0.1592969462362174,-0.49535753084301,0.02334108087866479,0.08905362222426678,0.06639631528539412,-0.09585913707649504,-0.06542991665125597,0.07352731374817602,-0.016390251927304776,0.014661125338356989,0.13047866410330192,-0.11345391096065204,0.03525259351020754,-0.015713348950106513,-0.007201245940968137,-0.011063288633181305,-0.0877122418165362,0.2464376992734076,-0.11965916596072874,-0.08547145846598621,-0.07501443130147391,-0.1225930651250363,0.037300965104557965,0.011121999233121618,-0.00419652245479287,-0.009912102279711283,-0.017133081266602613,0.033948730864565416,0.01483448392965065,-0.009694807241783055,-0.03264339358983212,-0.08119783635114865,0.06519733056110974,0.047987375648858965,-0.036214671540540595,0.08728150617011277,-0.08078482539673072,0.04847615071224104,0.012404788551947727,0.011886497021481495,-0.017494015255399464,0.09330993822453285,-0.12570547491829492,0.06796094545646535,-0.00042799004922501003,0.023542127493197933,-0.002879233992381987,-0.022427388709184242,0.06714933856153178,-0.06714933856153178,-0.05775071388847058,0.057750713888470556
checkin_acc_A12,0.11961064772439053,0.08999863763581642,-0.051688835002046005,-0.04810900614794774,-0.07869761380652739,-0.047296598572529436,-0.06664257307512143,-0.11958089450149356,-0.37266999073506624,1.0,-0.15729609128835903,-0.4891355749928543,0.08331786361972074,0.01900244884606816,0.015497884780538172,0.09017365154881851,-0.11800725578076152,-0.0156919024813091,-0.04975980204669984,0.07812099394921122,-0.056749611023801716,-0.001607199860160568,-0.025432815633518416,0.0473823981879815,-0.004656192001708996,0.013825653020465144,0.10596657167565704,-0.047044556299240085,0.14313640388951643,-0.05519796157974017,0.011477702771700361,-0.024652493116974695,0.05911836289623714,0.0820577443058613,-0.029493437742972455,-0.004794414360608035,-0.06773108210087725,0.005690901335422314,0.012726245197731734,-0.056240275800627175,0.07218782514163351,-0.06198493969034915,-0.023075227242550327,0.10169045065413587,-0.004299972549324401,-0.03957687896501593,0.01289089152763387,0.03482463666126376,0.049600240212029835,-0.017506823595290665,-0.03457639779082324,-0.0008882680161627376,0.0010119883108564275,-0.00037781066240312054,0.04738239818798106,0.018040773686374,-0.06758690602418264,0.05199868375154404,-0.015276095832838692,0.015276095832838692,0.059172442172905855,-0.059172442172905855
checkin_acc_A13,-0.10050567256293498,-0.07669661526020959,-0.04499795119539114,-0.06724062465703308,0.03772503605312302,-0.028223469996780003,-0.008700158434488655,0.044009492703749695,-0.1592969462362174,-0.15729609128835903,1.0,-0.209079897305841,-0.01092188655622903,-0.0016587879963092145,0.029770098251321386,-0.0369605377747738,-0.0041507741012552805,0.012229769095858111,-0.06078475930993609,-0.028576736481155152,-0.004308079783865793,0.058300433173828665,0.00922317949920805,-0.038890398412697695,0.016052107175315748,-0.02471069195297831,-0.015450560767970732,0.02532892604161201,-0.020162287060034235,0.0005251478036968175,-0.000462095861114312,-0.016275368936474938,-0.04959732752682438,0.04541415718937004,0.014285548317472342,-0.04301399232024305,0.010045111279970905,0.053821771117236246,0.004182658385729986,-0.012603332681600861,-0.02557581160651274,0.04051622435921612,-0.012101166951483189,-0.042191634192060755,0.02958102163773232,-0.02550780375200362,0.0007341451647991455,-0.00800481869868438,-0.009006308798032955,0.020205988342731795,-0.0029829114665144885,-0.035183438183100366,0.01893417107452092,0.015859767067776823,0.07334740364415342,0.014405487972252736,-0.02293195458791987,-0.015346073002813465,0.028954555650698734,-0.028954555650698734,-0.036391693065348424,0.03639169306534823
checkin_acc_A14,-0.03948644935340082,-0.06326780954516578,0.02505477791430602,-0.010898200526170042,0.06238923352740026,0.07700675071210995,0.010913867639032473,0.32243570477770805,-0.49535753084301,-0.4891355749928543,-0.209079897305841,1.0,-0.09148588022940271,-0.09770514118839567,-0.08947124064444062,0.02404142131797842,0.1688785601470448,-0.058953647341909866,0.09034175659261566,-0.07006842981571174,-0.0654535924432043,0.07602673841194606,-0.01368289080092221,-0.00931990041112303,0.0028170206262876554,0.00983814791675658,-0.008422346857682098,-0.19484075267856907,-0.010651412947497224,0.1278468568732616,0.05828423866407356,0.14236361032232714,-0.06303622661392012,-0.10720101998400462,0.023492791928866268,0.03478615765891584,0.07211026319543334,-0.06291346065376255,-0.027169306670282858,0.0661543090719552,-0.0229982483596977,0.11022059236473794,-0.03255187686670112,-0.11510723625917955,0.022249243501739322,-0.03106801295791585,0.06167397017214612,-0.07187076467348882,-0.05185708105842719,-0.005008987610255573,0.048829472676027344,-0.06686977937425963,0.10440661911946285,-0.06957545491286535,-0.07907963402731331,-0.04502339685014776,0.07536612683515526,-0.019087772494373063,-0.06182543360145005,0.06182543360145005,0.017108367485813986,-0.01710836748581397
credit_history_A30,0.14718950051334628,0.11821114294968384,-0.055992758208140384,0.002341012513037327,-0.02262976157533341,0.0977441880322001,0.011280547309335566,-0.14476650603589497,0.02334108087866479,0.08331786361972074,-0.01092188655622903,-0.09148588022940271,1.0,-0.046334252462723505,-0.21676211754556057,-0.06340715918772316,-0.13140699451852458,-0.028446188086048506,-0.018803451602071874,0.024370735494399512,-0.00318100528908433,-0.0818317088384978,-0.022496063533292417,0.038964727440437726,-0.04682929057908475,0.03458249157736478,0.1917385473621244,0.061327859144556116,0.014774140544484867,-0.031925514548978864,-0.04583492485141095,-0.043816319869912725,-0.03131834754727816,0.028667568367212706,0.04786485846848272,-0.053304629114299076,-0.013147156993717633,-1.2307234264227918e-17,-0.004413559511103503,0.021327415312903934,-0.02966243718985606,0.047792326701318284,-0.042206273018348055,-0.024822887717288147,-0.07122086684623333,0.00870446897704905,0.04031067352952547,0.0260139720257505,0.06549503553050107,0.0028934784659654907,-0.05980404449377951,0.03780546932146547,-0.039709218318577155,0.011180185145523016,0.004174792225761033,-0.025515518153991248,0.029595200216856618,-0.013221220857494796,0.0016639510957850013,-0.0016639510957850013,-0.01405800604908569,0.014058006049085714
credit_history_A31,0.005924619205632301,0.03337013031381644,0.03038519667375357,0.02968362951477999,0.013923076360508843,-0.0903832623315897,0.06918519928545669,-0.13444779843951415,0.08905362222426678,0.01900244884606816,-0.0016587879963092145,-0.09770514118839567,-0.046334252462723505,1.0,-0.24104425628905254,-0.07051015972195243,-0.14612747662533854,0.005842929484138324,-0.00071629962794056,0.060072720876844114,-0.010455630805557432,-0.04869769847073965,0.01752830099239335,-0.03404471434633872,0.011690351948941755,0.07647152213693591,0.03517102551564647,-0.0430509506792654,0.045004953219342426,0.036474269390108685,0.014042602886015517,-0.011585148432284613,0.03768889812916045,0.007021474750790766,-0.015765460584639877,0.018011278320383205,-0.02554225133666935,-0.009564833412770899,0.018129460651618162,0.01068548140612859,-0.04019781024330574,-0.054916595584993316,0.023151765987738087,0.05115950418942477,-0.029011214760764386,-0.03696231653452708,-0.012473079257200979,0.09566554455987261,0.23017244830080796,0.12469887680303134,-0.2724663792722132,0.014851334857065293,-0.060798524150548934,0.07026739457570147,0.06069938865831469,0.0370596820071723,-0.06591697999430769,0.02280355066080836,0.016955250926114687,-0.016955250926114687,0.019952082941496526,-0.019952082941496446
credit_history_A32,-0.08668063317863593,-0.06983116012409679,-0.018082129664265412,-0.08133127715507647,-0.15575578290117154,-0.4818079708239055,-0.0783385218205992,-0.04372234923380667,0.06639631528539412,0.015497884780538172,0.029770098251321386,-0.08947124064444062,-0.21676211754556057,-0.24104425628905254,1.0,-0.32986248223390774,-0.683617401411215,-0.019024658764442606,-0.023664250336311244,-0.043426621540686286,0.05240362962129942,0.08300052063341036,0.06698004339325993,-0.009015219473076963,-0.03217617207104246,0.004879585030164748,-0.12463418624066057,-0.006511129769490846,0.00929431559169893,0.021523533638766783,-0.041615681731510194,0.010415320066683796,-0.015453569743868429,0.10533565792636865,0.039490642637204094,-0.017017837021101954,-0.11102719674656993,0.013789788030446799,0.09400857677080514,-0.1386490130161047,0.07791886351744275,-0.06008778201228615,0.022937060572717414,0.058115658501395634,0.03802631405267123,-0.004556797893011037,0.012933898449179061,-0.05895112684943188,-0.07917219304827476,-0.06541778035840536,0.10597168310313189,0.08430423844262899,-0.043805003012403164,-0.04028129470129235,-0.02267464291713426,0.010018048746260626,0.01701476112102331,-0.02505217583618105,0.05765460758225774,-0.05765460758225774,-0.004139651084832623,0.00413965108483217
credit_history_A33,0.11355435154229654,0.1372106053814684,-0.014216344117374494,-0.02432566794628847,0.015974512314454632,0.10724653938699406,0.042525901651348647,-0.01232456444410899,-0.09585913707649504,0.09017365154881851,-0.0369605377747738,0.02404142131797842,-0.06340715918772316,-0.07051015972195243,-0.32986248223390774,1.0,-0.19997146127559337,-0.029948512690500778,-0.012356288471571176,0.030603009967854464,-0.054348579991921955,-0.036478247146388386,-0.03423387555726315,0.02560484227359285,0.009717749287841639,-0.02960249690547908,0.17251224050058978,-0.022105283864969627,0.05732202997713874,-0.022432024498526357,-0.0036988793881590014,-0.0009494192016775868,0.00796274632882622,-0.029333096226114862,0.02362358685723675,0.01571697778246165,-0.01838303041650098,0.009717749287841578,-0.08609242721717583,0.07642920300366714,-0.0011724535335849123,0.08731371173447217,-0.046426676981127075,-0.0727514108759392,-0.04562457861051297,0.02160872545131777,0.013372075552834277,0.014160685082696753,-0.0023672288977444784,0.09780472292977016,-0.051092272091443264,-0.043756198383336706,0.01760413242285606,0.028386478605222955,-0.04658926188127461,-0.02294428884819934,-0.003216938693730679,0.04946419679647025,-0.04638445531684469,0.04638445531684469,0.060887989688133436,-0.06088798968813343
credit_history_A34,-0.04180970611733851,-0.07555171921544619,0.03837359211800397,0.08924146895084988,0.16399636464138376,0.46237481948766973,0.02176463755953942,0.18171301969732784,-0.06542991665125597,-0.11800725578076152,-0.0041507741012552805,0.1688785601470448,-0.13140699451852458,-0.14612747662533854,-0.683617401411215,-0.19997146127559337,1.0,0.04897947688358485,0.04207646522747151,-0.010412070240698883,-0.017308030622929682,-0.009982547524985326,-0.05076893163875808,-0.0066805246965317925,0.04385296224553749,-0.03808439670938023,-0.06993969666937919,0.014913220839516614,-0.0735777941162032,-0.01319385493187628,0.06101144097310836,0.013529423931636603,0.007598454541857838,-0.11292478347900367,-0.07113986905897081,0.02328636859509294,0.15096827171615498,-0.016633882231066016,-0.056199937846366316,0.0902179345816026,-0.052878511112162435,0.01701378030468529,0.01093635007509209,-0.032022789118442196,0.031123022434003833,0.005330056799660578,-0.03394625742019608,-0.0007426270626843881,-0.049074786549592436,-0.04953025001614101,0.07057133428974728,-0.08853246072289206,0.08301149661073558,-0.011637615149979711,0.023276985153385096,-0.0032957005310894653,0.001865817675118789,-0.008439567638518566,-0.04311007238847507,0.04311007238847507,-0.03676987074606817,0.03676987074606817
purpose_A40,-0.040791541971203375,-0.1104740518091826,-0.04330027961249365,0.022215686505932735,0.07499203322966823,0.036592556070837244,0.10266258739465313,-0.09690047108093158,0.07352731374817602,-0.0156919024813091,0.012229769095858111,-0.058953647341909866,-0.028446188086048506,0.005842929484138324,-0.019024658764442606,-0.029948512690500778,0.04897947688358485,1.0,-0.18729058006319196,-0.06091239764522733,-0.2598309495468371,-0.3446722437527878,-0.060912397645227524,-0.082896359220647,-0.12679926712403108,-0.05267177710516743,-0.18114883104151913,-0.01497495653453799,0.04583187458354922,-0.016935022070734735,-0.0025634601968651826,-0.005021262557896302,0.034202248460509926,0.004706695854616284,-0.016595844331896197,0.007999780344098104,-0.011963945875198896,-0.01842382513767939,-0.012971972245984734,0.02737432641550533,-0.012487175133916768,0.006197086241184478,0.004836180349836506,-0.012425523319967295,0.04205637639062022,-0.007207239382664114,-0.0536064266450136,0.025939750250484502,0.010063897251562908,-0.06694047174636034,0.027461964928620363,-0.011620405435334174,-0.009617929714854359,0.028369996696756706,0.09423261347304422,0.07204063393595664,-0.08522258444270737,-0.004203819977090813,0.03627477804867043,-0.03627477804867043,-0.15443624123819522,0.15443624123819522
purpose_A41,0.25210131731456825,0.14506733749271428,-0.08672304174236911,0.09868456848069475,0.05028328002253059,-0.011428485393212336,0.05486157064902594,0.09979075742999617,-0.016390251927304776,-0.04975980204669984,-0.06078475930993609,0.09034175659261566,-0.018803451602071874,-0.00071629962794056,-0.023664250336311244,-0.012356288471571176,0.04207646522747151,-0.18729058006319196,1.0,-0.03734517866931057,-0.15930144945466107,-0.21131735119457706,-0.03734517866931084,-0.050823468880033765,-0.0777401886798921,-0.03229288294115826,-0.11106171686729668,-0.08142158190909884,-0.01741511619097066,-0.020162287060034808,0.03164238304570361,0.11189414722482773,0.06294561663286928,-0.05854859284917602,-0.04807312594551232,0.009354902794693152,0.06009520218385092,-0.03245464187607192,-0.05640959233653796,0.0896101552296198,-0.03956654201012209,0.06319699231382697,-0.05347419306250917,-0.0349103828626611,-0.13194086983110193,-0.03815943825241597,0.061504646527902544,0.12886281122089127,-0.012524545223390488,0.0024716496528947173,0.00979095491980446,0.03915953632705652,-0.14137524566426926,0.1576801523483312,-0.028394753575518034,-0.11185723586847474,-0.03332137302874328,0.1830347407891125,-0.13669290669181755,0.13669290669181755,0.03156382383680041,-0.03156382383680027
purpose_A410,0.19289125455702932,0.104128160101475,-0.030815308389790713,0.047490833720702584,0.0426475436620583,0.009322110781434908,0.0035527507254549816,-0.028057520764226532,0.014661125338356989,0.07812099394921122,-0.028576736481155152,-0.07006842981571174,0.024370735494399512,0.060072720876844114,-0.043426621540686286,0.030603009967854464,-0.010412070240698883,-0.06091239764522733,-0.03734517866931057,1.0,-0.051809510288074595,-0.06872660931990038,-0.012145748987853892,-0.016529284842227862,-0.025283392706065923,-0.010502594023463305,-0.036120532376480226,0.014340700103089155,0.02308391302860358,-0.02857673648115515,-0.024746529156023545,-0.004655329259165764,0.1239989583679118,-0.050229771878679136,-0.001319286864938784,-0.05058208781387734,0.02036513892631343,0.016855595137377142,-0.014297430984443114,0.026277339814965595,-0.035080287191386714,-0.12281884477156231,0.1624760145185101,0.015552954773860693,-0.04865756589551808,-0.03881513958246546,0.019813780136659083,0.08019948353848838,0.14155071570347197,0.01892003845034869,-0.13614054405754888,-0.05145968076078772,-0.011288077513012798,0.08000981883059304,0.046081642590453976,-0.03214392817871599,-0.12478535167413138,0.18683489268264092,-0.11514190726830366,0.11514190726830366,-0.027051521117044848,0.027051521117044872
